source_id,title,issuing_body,source_type,url,publication_date,access_date,language,primary_or_secondary,evidence_note,freshness_flag
aop,Asset Owner Principles,FSA / Cabinet,principles,https://www.fsa.go.jp/en/,2024-08-28,2026-05-29,en/ja,primary,Finalized 2024; governance and investment-outcome principles for asset owners.,current
tsepbr,Action to Implement Management that is Conscious of Cost of Capital and Stock Price,JPX / Tokyo Stock Exchange,disclosure request,https://www.jpx.co.jp/english/equities/improvements/follow-up/index.html,2023-03-31,2026-05-29,en/ja,primary,March 2023 request; monthly list of disclosing companies; drives buybacks and ROE focus.,verify
cgcode,Corporate Governance Code & Stewardship Code,FSA / JPX,code,https://www.fsa.go.jp/en/refer/councils/stewardship/,2025-06-01,2026-05-29,en/ja,primary,Stewardship Code revised June 2025; CG Code revision panel active 2025-2026.,current
boj,Monetary Policy Normalization,Bank of Japan (BOJ),monetary policy,https://www.boj.or.jp/en/,2026-01-01,2026-05-29,en/ja,primary,"Exit from negative rates and YCC; ongoing normalization affects banks, insurers, real estate.",current
mofjgb,JGB Issuance Plan & Debt Management,Ministry of Finance (MOF),debt management,https://www.mof.go.jp/english/policy/jgbs/,2026-01-01,2026-05-29,en/ja,primary,FY2026 issuance plan; debt-management dialogue as rates normalize.,current
jpx,JPX Prime 150 & market segmentation,JPX / TSE,market-structure reform,https://www.jpx.co.jp/english/,2023-07-01,2026-05-29,en/ja,primary,"Index reform, segmentation and disclosure lists shaping passive flows.",verify
mwage,Minimum Wage Council decision,MHLW,regulation,https://www.mhlw.go.jp/english/,2025-08-01,2026-05-29,en/ja,primary,"FY2025 weighted-average minimum wage JPY1,121 (+6.26%); government target toward JPY1,500.",current
newcap,New Capitalism Grand Design / labor-saving investment plan,Cabinet Secretariat,plan / subsidy,https://www.cas.go.jp/jp/seisaku/atarashii_sihonsyugi/,2025-06-01,2026-05-29,ja,primary,"Wage-led growth; labor-saving investment promotion across services, logistics, care, agriculture.",current
incomebarrier,Annual-income barrier / social-insurance reform,MHLW,social-insurance reform,https://www.mhlw.go.jp/english/,2025-06-01,2026-05-29,en/ja,primary,JPY1.06mn requirement scheduled for abolition within 3 years from Jun 2025.,current
cfs,Children's Future Strategy (Kodomo Mirai Senryaku),Children and Families Agency (CFA),plan / transfer,https://www.cfa.go.jp/,2023-12-22,2026-05-29,ja,primary,"~JPY3.6tn package: child allowance, childcare, parental-leave benefits.",verify
kdt,Kodomo Dare Demo Tsuen (flexible childcare),Children and Families Agency (CFA),new benefit,https://www.cfa.go.jp/,2026-04-01,2026-05-29,ja,primary,Time-based childcare regardless of employment; nationwide benefit from FY2026.,current
workstyle,Work-Style Reform / overtime caps (2024 problem),MHLW,regulation,https://www.mhlw.go.jp/english/,2024-04-01,2026-05-29,en/ja,primary,"Overtime caps from Apr 2024 on construction, drivers, doctors.",current
logi2024,Logistics 2024 Problem / standard freight rates,MLIT / MHLW,regulation / pricing,https://www.mlit.go.jp/en/,2024-04-01,2026-05-29,en/ja,primary,"Driver overtime caps plus standard freight rates, shipper responsibility, modal shift.",current
iconstruction,i-Construction 2.0,MLIT,standards / productivity,https://www.mlit.go.jp/en/,2024-04-01,2026-05-29,en/ja,primary,"Construction-site automation, remote operation, 3D data adopted 2024.",current
medfee,FY2026 Medical Fee Revision (Shinryo Hoshu Kaitei),MHLW / Chuikyo,reimbursement,https://www.mhlw.go.jp/english/policy/health-medical/,2026-02-13,2026-05-29,en/ja,primary,FY2026 revision adopted early 2026: fees raised for wages/inflation; drug prices cut.,current
drugprice,Drug Price Revision,MHLW / Chuikyo,price regulation,https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/,2026-04-01,2026-05-29,en/ja,primary,Annual + periodic drug-price cuts; FY2026 cut ~0.8%; cost-effectiveness (HTA) expansion.,current
healthdx,Healthcare DX roadmap,MHLW,procurement / standards,https://www.mhlw.go.jp/english/policy/health-medical/,2025-01-01,2026-05-29,en/ja,primary,"Three pillars: nationwide platform, EMR standardization, reimbursement DX; e-prescriptions.",current
resilience,National Resilience (Kokudo Kyojinka) implementation plan,Cabinet Secretariat / MLIT,public works,https://www.cas.go.jp/jp/seisaku/kokudo_kyoujinka/,2025-01-01,2026-05-29,ja,primary,Multi-year disaster-prevention and climate-adaptation public works.,current
mlitmaint,Infrastructure maintenance / 5-year inspection rule,MLIT,public works / maintenance,https://www.mlit.go.jp/en/,2024-01-01,2026-05-29,en/ja,primary,Mandatory 5-year bridge/tunnel inspections; ~half of bridges 50+ years within 10 years.,current
tourism,Tourism Nation Promotion Basic Plan,Japan Tourism Agency (JTA) / MLIT,plan / targets,https://www.mlit.go.jp/kankocho/en/,2025-03-18,2026-05-29,en/ja,primary,FY2026-30 plan; 2030 targets of 60mn visitors and JPY15tn spend; overtourism measures in 100 areas.,current
jnto,Inbound visitor & spending statistics,JNTO / JTA,data,https://www.jnto.go.jp/statistics/,2026-01-01,2026-05-29,en/ja,primary,Record 42.7mn visitors in 2025; JPY9.5tn spend.,current
maffbasic,"Basic Act for Food, Agriculture & Rural Areas (revised) + 2025 Basic Plan",MAFF,law / plan / targets,https://www.maff.go.jp/e/policies/,2025-04-01,2026-05-29,en/ja,primary,Food security at center; paddy-policy review from FY2027; 2030 export target JPY5tn.,current
smartagri,Smart Agriculture promotion,MAFF,subsidy / R&D,https://www.maff.go.jp/e/policies/tech_res/,2024-03-01,2026-05-29,en/ja,primary,"Autonomous machinery, drones, sensors and farm-management software.",current
midori,MIDORI Strategy for Sustainable Food Systems,MAFF,targets,https://www.maff.go.jp/e/policies/env/env_policy/midori.html,2021-05-01,2026-05-29,en/ja,primary,"2050: organic 1mn ha (25%), -50% risk-weighted pesticide, -30% chemical fertilizer; +30% food-mfg productivity by 2030.",verify
plasticact,Plastic Resource Circulation Act,MOE / METI,law,https://www.env.go.jp/en/,2022-04-01,2026-05-29,en/ja,primary,"In force since Apr 2022; design, collection and recycling obligations.",verify
circular,Circular Economy / Resource Autonomy Strategy,METI,growth strategy,https://www.meti.go.jp/english/policy/mono_info_service/,2023-03-01,2026-05-29,en/ja,primary,Domestic circular-economy market: ~JPY50tn (2020) -> JPY80tn (2030) -> JPY120tn (2050).,verify
