category_id,subcategory_id,subcategory_name_en,subcategory_name_ja,slug,money_flow,stock_logic,status_of_review
defense,defense-11,Economic Security Supply Chains & Specified Critical Products,経済安全保障サプライチェーン・特定重要物資,economic-security-supply-chains-and-specified-critical-products,"The government subsidizes companies that build or secure domestic supply of these named products, and asks them to submit supply-security plans it can approve and back. The money reaches the makers of strategic components and materials, the trading houses that source minerals, and battery and machine-tool suppliers.","This is a subsidy-driven theme, so the signal is which products get added to the 'specified critical' list and which company supply-security plans are approved. Because the same act also funds chips and cloud (see those sub-themes), it is best read alongside the semiconductor and AI-compute pages rather than on its own.","reviewed (deep, bilingual)"
defense,defense-12,"Sovereign Cloud, AI Compute & Secure Digital Infrastructure",ソブリンクラウド・AI計算基盤・セキュアデジタル基盤,sovereign-cloud-ai-compute-and-secure-digital-infrastructure,"Using the Economic Security Promotion Act, the government approved up to ¥72.5 billion in an early round of subsidies for domestic cloud and AI-computing capacity, and has signalled more. The money reaches domestic cloud providers, data-center builders, telecom carriers, and the power and cooling suppliers that data centers depend on.","This overlaps heavily with the AI-compute and data-center sub-themes; here the lens is security and self-sufficiency. The government has committed the first ¥72.5 billion and indicated further rounds. The check is whether Japanese providers win the work, or whether foreign hyperscalers end up supplying most of the capacity even when it sits on Japanese soil.","reviewed (deep, bilingual)"
semicon,semicon-01,Advanced Logic Semiconductors & Foundry Revival,先端ロジック半導体・ファウンドリ復活,advanced-logic-semiconductors-and-foundry-revival,"The state is funding this directly and heavily. Cumulative government support for Rapidus is heading toward roughly ¥2.9 trillion, part of a broader ¥10 trillion national pledge for semiconductors and AI by 2030 (with about ¥1.23 trillion in the FY2026 budget alone). The money reaches Rapidus and, more investably for listed names, the equipment and materials suppliers that sell into its lines.","This is a bet that may or may not pay off, so separate the commitment from the result. The government has committed the money; what is not yet proven is whether Rapidus can reach high-volume 2nm production with good yields and win paying customers. Watch the funding tranches, pilot-line yield news, and any customer or partner announcements. The company targets profitability around FY2030 and a stock-market listing around FY2031.","reviewed (deep, bilingual)"
semicon,semicon-02,"Legacy, Power, Analog & MCU Semiconductors",レガシー・パワー・アナログ・MCU半導体,legacy-power-analog-and-mcu-semiconductors,"Under the economic-security framework, the government subsidizes companies that expand domestic capacity for power, analog, and microcontroller chips. The money reaches power-semiconductor and silicon-carbide makers and the automotive-chip suppliers building new lines.","This is a more grounded bet than leading-edge logic because Japan already has the customers and the know-how. The signal is which capacity-expansion subsidies are awarded and whether the new silicon-carbide lines ramp on schedule as electric-vehicle demand grows. A useful check is order trends from auto and industrial customers, which show whether the new capacity is actually being used.","reviewed (deep, bilingual)"
semicon,semicon-03,"Semiconductor Materials, Chemicals & Advanced Components",半導体材料・化学品・先端部品,semiconductor-materials-chemicals-and-advanced-components,"Policy here reinforces an existing strength rather than building a new one. Under economic-security rules, the government has approved supply-security plans for semiconductor materials, helping makers expand capacity. Demand also comes directly from the new fabs being built in Japan, such as TSMC's Kumamoto plant and Rapidus. The money and orders reach wafer, photoresist, substrate, and specialty-chemical makers.","Because Japan already leads here, the question is capacity and share rather than catch-up. Watch which materials get supply-security designations and whether the new domestic fabs lift local materials demand. A clean check is the capacity-expansion announcements from the leading wafer and resist suppliers.","reviewed (deep, bilingual)"
semicon,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,半導体製造装置・精密機械,semiconductor-manufacturing-equipment-and-precision-tools,"Policy works two ways here. Domestic support strengthens local equipment capacity, while US-led export controls restrict what Japanese makers can sell to China. So the same companies enjoy strong demand from new fabs worldwide and the AI-chip boom, but carry the risk that a large export market is fenced off. The money reaches etch, deposition, cleaning, inspection, and test-equipment makers.","Demand and policy push in opposite directions, so track both. The upside signal is the global wave of fab spending and rising demand to test AI chips; the downside signal is each tightening of China export controls. A practical check is the China revenue share these makers disclose, which shows how exposed each is.","reviewed (deep, bilingual)"
semicon,semicon-05,"Advanced Packaging, Chiplets & Heterogeneous Integration",先端パッケージング・チップレット・ヘテロジニアス集積,advanced-packaging-chiplets-and-heterogeneous-integration,"Japan's Post-5G support program funds advanced-packaging and chiplet technology, and demand comes directly from the AI hardware boom. The money and orders reach package-substrate makers, bonding and inspection-equipment suppliers, and outsourced assembly-and-test providers.","This is one of the faster-growing parts of the chip supply chain, so the question is capacity rather than demand. Watch advanced-packaging research grants and the substrate makers' capacity announcements, since AI demand is currently outrunning supply. A check is whether substrate suppliers raise capex guidance.","reviewed (deep, bilingual)"
semicon,semicon-06,"AI Compute, Data Centers & Semiconductor Demand Pull",AI計算・データセンター・半導体需要創出,ai-compute-data-centers-and-semiconductor-demand-pull,"Part of the ¥10 trillion chips-and-AI pledge funds domestic AI computing, and a separate round approved up to ¥72.5 billion for cloud and AI-compute capacity. Beyond the chipmakers, the spending reaches data-center builders, power and cooling suppliers, telecom carriers, and the firms that connect it all with optical cable.","The clearest signal is the wave of data-center investment landing in Japan and the demand to test AI chips. Watch the cloud and AI-compute subsidy rounds and capital-spending plans from global cloud operators in Japan. A useful check is power-grid connection approvals, since electricity — not money — is the binding constraint.","reviewed (deep, bilingual)"
semicon,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",ファクトリーオートメーション・ロボット・省人化製造,factory-automation-robotics-and-labor-saving-manufacturing,"The government funds labor-saving investment directly. The 2025 New Capitalism plan includes a labor-saving investment promotion plan with subsidies that help smaller firms buy automation. Demand also comes from reshoring (see domestic investment) and the new fabs. The money and orders reach industrial-robot, machine-tool, sensor, and factory-software makers.","This is both a labor policy and an industrial one, so it has a steady, structural pull rather than a one-off budget. Watch take-up of the labor-saving subsidies and capital-spending orders from manufacturers. A check is the order books of the leading robot and sensor makers, which reveal whether the automation push is translating into actual purchases.","reviewed (deep, bilingual)"
semicon,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",戦略的国内投資・国内回帰・工場補助,strategic-domestic-investment-reshoring-and-plant-subsidies,"The revised Industrial Competitiveness Enhancement Act supports domestic production in strategic areas through grants, production-linked tax credits, and loans. The clearest example is the public money pulling chip fabs to Japan. The spending reaches construction and engineering firms, factory-equipment makers, and the regional manufacturers and utilities around new plants.","Reshoring is real where the subsidy is large (chips) and slower elsewhere. The signal is which strategic business plans get approved and where new plants are sited. A grounded check is construction orders at the firms that build fabs and plants — the early, visible beneficiaries before the factories themselves produce anything.","reviewed (deep, bilingual)"
digital,digital-01,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",AI計算・GPUクラウド・ソブリンAI基盤,ai-compute-gpu-cloud-and-sovereign-ai-infrastructure,"The government is funding it directly. It approved up to ¥72.5 billion for domestic cloud and AI computing, and budgeted around ¥387.3 billion to develop home-grown foundation models and data infrastructure, all within the wider ¥10 trillion chips-and-AI pledge. The money reaches cloud providers, systems integrators, telecom carriers, and supercomputing operators.",The commitment is set; the open question is whether domestic players build a real position or simply resell foreign technology. Watch the AI-compute subsidy rounds and the GENIAC program for domestic foundation models. A useful check is whether Japanese-built models and clouds win meaningful enterprise and government work.,"reviewed (deep, bilingual)"
digital,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",データセンター・グリーンDC・ワットビット連携,data-centers-green-data-centers-and-watt-bit-infrastructure,"The pull here is mostly private investment, supported by policy that eases siting and links data centers to power supply. The spending reaches data-center operators and real-estate developers, construction firms, power and cooling-equipment makers, and fiber and telecom suppliers.","This is largely a demand story, with policy smoothing the path. Watch regional siting incentives and the capital-spending plans of global cloud operators in Japan. The binding check is power: grid-connection approvals and local electricity availability decide how many of the announced data centers actually get built.","reviewed (deep, bilingual)"
digital,digital-03,"Government Cloud, Public-Sector IT Modernization & GovTech",ガバメントクラウド・行政IT近代化・GovTech,government-cloud-public-sector-it-modernization-and-govtech,"This is a direct public-procurement pipeline: government pays vendors to migrate systems and run them in the cloud. The money reaches IT-services firms, cloud-migration specialists, certified software vendors, and cybersecurity providers. Local governments face deadlines to move their core systems, which creates a multi-year stream of contracts.","Because it runs on procurement and legal deadlines, this is steadier and more visible than most digital themes. Watch the local-government migration deadlines and which vendors get onto the Government Cloud and the approved-software lists. A clean check is the public-sector order backlog the leading systems integrators report.","reviewed (deep, bilingual)"
digital,digital-11,"Digital Payments, Fintech Infrastructure & Cashless Economy",デジタル決済・フィンテック基盤・キャッシュレス,digital-payments-fintech-infrastructure-and-cashless-economy,"This is a target-and-standards policy, not a spending program. The government sets goals and nudges merchants to accept digital payments; the revenue flows privately to payment processors, card companies, code-payment operators, and the point-of-sale and fintech firms that serve merchants.","The cashless share reached 58.0% in 2025, with an interim goal of 65% by 2030 and a longer-term goal of 80%. So the headline check is simply the annual cashless ratio. A second check is whether processing fees hold up or fall as volume grows, since fee levels decide how much of the shift turns into profit for the payment firms.","reviewed (deep, bilingual)"
markets,markets-01,New NISA & Household Savings-to-Investment Shift,新NISA・貯蓄から投資へ,new-nisa-and-household-savings-to-investment-shift,"This is not government spending; it is a tax incentive that changes where households put their money. By removing the tax on investment gains, it nudges savers to buy investment funds and shares. The flow lands with online brokers, asset managers, banks, and the stock exchange — they earn fees and trading volume as more household money moves in.","The early evidence is strong: NISA accounts reached about 24.3 million by mid-2024, and funds drew roughly ¥15 trillion of net inflows in 2024, more than double the prior year. That ¥15 trillion is household money, not a state outlay. The check going forward is whether inflows stay high after the initial rush, and whether the money goes into Japanese or foreign assets. Watch the monthly NISA inflow data.","reviewed (deep, bilingual)"
markets,markets-02,Asset Management Nation & Domestic Asset-Management Reform,資産運用立国・国内アセットマネジメント改革,asset-management-nation-and-domestic-asset-management-reform,"This works through reform and market structure, not subsidy. Better-run, more trusted asset managers should attract more money to manage, which earns them fees. The beneficiaries are asset managers, trust banks, and the financial groups that own them, plus the data and custody firms that support the industry.","This is slower and softer than the NISA flow, because it depends on behavior changing, not money being handed out. Watch updates to the asset-management-center plan and any program to help new, independent managers get started. A useful check is whether assets under management at Japanese firms actually grow and whether foreign managers expand in Tokyo.","reviewed (deep, bilingual)"
markets,markets-05,"TSE Cost-of-Capital, PBR & Capital Efficiency Reform",東証 資本コスト・PBR・資本効率改革,tse-cost-of-capital-pbr-and-capital-efficiency-reform,"There is no government money here. The exchange applies pressure through disclosure: it publishes a monthly list of companies that have disclosed cost-of-capital actions, which pushes the rest to follow. The effect shows up as buybacks, higher dividends, sold-off cross-shareholdings, and balance sheets put to better use. The beneficiaries are the undervalued, cash-rich companies that respond — and their shareholders.","The pressure is real and ongoing. Watch the monthly TSE disclosure list and whether the exchange tightens expectations further. The deeper check is substance over form: not just whether a company publishes a plan, but whether return on equity actually rises and idle cash is actually returned. ('Below book' here means a price-to-book ratio under 1, measured against the company's reported equity.)","reviewed (deep, bilingual)"
markets,markets-06,"Corporate Governance Code, Board Reform & Stewardship",コーポレートガバナンス・コード／取締役会改革・スチュワードシップ,corporate-governance-code-board-reform-and-stewardship,"This works through codes and stewardship, not money. The Corporate Governance Code sets expectations for boards; the Stewardship Code asks investors to engage with the companies they own. Together they raise the chance that under-governed companies improve. The beneficiaries are governance-improvement candidates, the advisers and proxy firms that support change, and shareholders broadly.","The Stewardship Code was revised in June 2025 and a panel reviewing the Governance Code is active through 2025–2026. Watch the outcomes of that review and shareholder-meeting voting trends, which show whether investors are actually pressing for change. The substance check is independent-board upgrades and clearer board accountability, not just longer disclosures.","reviewed (deep, bilingual)"
markets,markets-07,"Shareholder Returns, Buybacks & Balance-Sheet Optimization",株主還元・自社株買い・バランスシート最適化,shareholder-returns-buybacks-and-balance-sheet-optimization,"No policy pays for this; the cash is the companies' own. Policy raises the probability of return rather than ordering it. Net-cash companies, low-return conglomerates sitting on idle assets, and banks unwinding old shareholdings are the names most likely to act. Shareholders receive the cash directly.","Buyback announcements across the market have hit records, so the trend is clear; the question is durability and breadth. Watch buyback and dividend announcements and treasury-share cancellations (cancelling bought-back shares, which permanently lifts per-share value). A check is whether payout ratios keep rising and whether returns spread from a few leaders to the broad market.","reviewed (deep, bilingual)"
markets,markets-08,Cross-Shareholding Reduction & Parent-Subsidiary Governance,政策保有株式の縮減・親子上場ガバナンス,cross-shareholding-reduction-and-parent-subsidiary-governance,"No money changes hands from the state; the change is companies selling these stakes and redeploying the cash. Banks and insurers unwinding large cross-holdings free up capital for buybacks or investment, while listed subsidiaries and holding companies face pressure to simplify ownership. Shareholders of the sellers benefit as capital is freed.","The unwind is underway and disclosed. Watch the cross-shareholding reduction figures companies report, and restructurings of parent–subsidiary structures, including buyouts of listed subsidiaries. A clean check is the pace at which banks and insurers cut their strategic holdings, which they now disclose under pressure from the FSA and the exchange.","reviewed (deep, bilingual)"
markets,markets-10,Monetary Policy Normalization & Yield-Curve Repricing,金融政策正常化・金利曲線の再評価,monetary-policy-normalization-and-yield-curve-repricing,"This is monetary policy, not a budget. Higher interest rates let banks earn more on the gap between lending and deposit rates, and lift the investment income of insurers. At the same time, a higher cost of capital pressures the valuations of real estate and other rate-sensitive assets. So banks and insurers tend to benefit, while highly leveraged or asset-heavy businesses feel the squeeze.","The direction is set, but the pace is the variable. Watch the Bank of Japan's policy meetings and its guidance on the rate path. The key check is how far and how fast rates rise: a gradual rise lifts bank earnings without breaking borrowers, while a sharp rise would strain real estate and heavily indebted firms.","reviewed (deep, bilingual)"
labor,labor-01,"Structural Wage Growth, Minimum Wage & Price Pass-Through",構造的賃上げ・最低賃金・価格転嫁,structural-wage-growth-minimum-wage-and-price-pass-through,"This is not a payment from the state; it is a mandate plus persuasion. The minimum wage is set higher each year, which lifts pay at the bottom directly. The flow-through to companies is mixed: labor-heavy businesses face higher costs, while firms that can raise prices or automate protect their margins. Retailers, restaurants, and staffing firms are the most exposed.","The FY2025 weighted-average minimum wage rose 6.26% to ¥1,121 an hour, and the government has signalled a path toward ¥1,500. The annual minimum-wage council decision each summer and the spring wage round are the key signals. The real check is whether companies can raise prices enough to cover the higher pay without losing customers — pay rises without price pass-through squeeze margins.","reviewed (deep, bilingual)"
labor,labor-02,"SME Productivity, Labor-Saving Investment & Automation Subsidies",中小企業の生産性・省力化投資・自動化補助,sme-productivity-labor-saving-investment-and-automation-subsidies,"The 2025 New Capitalism plan includes a labor-saving investment promotion plan: subsidies, often from a catalog of approved equipment, that cover part of the cost when a small firm automates. The money reaches makers of robots, point-of-sale systems, warehouse automation, and the systems integrators that install them, with the small firms as the buyers.","This is a structural, repeating demand rather than a one-time budget, because the labor shortage is permanent. Watch take-up of the labor-saving subsidies and the catalog's expansion. A grounded check is the order trends at automation and equipment makers, which show whether subsidized demand is actually converting into purchases.","reviewed (deep, bilingual)"
labor,labor-05,"Part-Time Work, Social Insurance Reform & the “Annual Income Barrier”",パート労働・社会保険改革・年収の壁,part-time-work-social-insurance-reform-and-the-annual-income-barrier,"This is a rule change with some support spending attached, not a large outlay. Removing the barrier should bring more part-time hours into the workforce, easing labor shortages in shops, restaurants, and care. The beneficiaries are the labor-heavy employers that gain available hours, and the payroll and staffing firms that manage the change.","The government has said the ¥1.06 million insurance-contribution threshold is scheduled to be abolished within three years from June 2025, and company-size thresholds will be phased down. Watch the reform timeline and whether part-time hours actually rise. The check is labor-participation data for women and part-time workers.","reviewed (deep, bilingual)"
labor,labor-07,"Women’s Labor Participation, Childcare & Work-Family Support",女性の労働参加・子育て・仕事と家庭の両立,women-s-labor-participation-childcare-and-work-family-support,"This is real, recurring government spending. The money flows to families as cash (child allowance), to childcare providers as expanded capacity and benefits, and to the services families use. The investable beneficiaries are childcare operators, education and family-service firms, staffing for nurseries, and consumer names exposed to dual-income households.","The ¥3.6 trillion is committed and rolling out. Watch the child-allowance expansion and the build-out of childcare capacity. The harder check is effect rather than spending: whether the support actually lifts the birth rate or family incomes, which past programs across rich countries have struggled to do.","reviewed (deep, bilingual)"
labor,labor-08,Universal / Flexible Childcare & “Kodomo Dare Demo Tsuen”,こども誰でも通園制度（柔軟な保育）,universal-flexible-childcare-and-kodomo-dare-demo-tsuen,"This is direct service spending within the Children's Future Strategy. The government pays for the new childcare hours, which flows to nursery operators, the staff they hire, and the local-government and software systems that run the bookings. Families gain access; providers gain a new funded demand stream.","The system is being institutionalized in FY2025 and becomes a nationwide benefit from FY2026. Watch the FY2026 national launch and how fast capacity is built to meet it. The practical check is whether there are enough nursery places and staff — a funded benefit with no capacity is a promise, not a service.","reviewed (deep, bilingual)"
labor,labor-11,"Work-Style Reform, Overtime Caps & 2024 Problem Sectors",働き方改革・時間外上限・2024年問題業種,work-style-reform-overtime-caps-and-2024-problem-sectors,"This is a regulation, not a spending program, and its effect runs through prices and productivity. With fewer legal hours, these sectors must either raise prices, consolidate, or automate. So logistics, construction, and medical-workflow firms that help cut hours gain pricing power or demand, while those that cannot adapt face higher costs.","The caps are in force, so the question is how the affected sectors respond. Watch enforcement and guideline updates, and the pricing and consolidation moves in trucking and construction. The clearest check is freight rates and construction-bid prices, which show whether the hour limits are translating into pricing power.","reviewed (deep, bilingual)"
labor,labor-12,"Logistics, Transport Labor Shortages & Last-Mile Productivity",物流・運輸の人手不足・ラストワンマイル生産性,logistics-transport-labor-shortages-and-last-mile-productivity,"The mechanism is pricing and efficiency, backed by new rules. The government set standard freight rates and made shippers responsible for reducing drivers' waiting time, which strengthens carriers' ability to charge more. The beneficiaries are parcel and trucking firms with pricing power, warehouse-automation makers, and rail and shipping operators that absorb diverted freight.","This is the clearest line from a labor rule to company earnings. Watch standard-freight-rate increases and the enforcement of shipper responsibility. The check is whether carriers' yields (revenue per delivery) actually rise and whether warehouse-automation orders grow, which would show the squeeze converting into investment and pricing.","reviewed (deep, bilingual)"
health,health-01,Medical Fee Revision & Provider Reimbursement,診療報酬改定・医療機関の収入,medical-fee-revision-and-provider-reimbursement,The schedule governs how public health-insurance money (and patient co-pays) flows to providers. A revision that raises fees lifts provider revenue across the board; one that holds fees down squeezes it. For FY2026 the government raised the core treatment fees by 3.09% — the first 3%-plus rise in three decades — to help hospitals cope with inflation and pay staff more.,"Because the schedule moves on a fixed two-year cycle, the timing is predictable; the size is what matters. The FY2026 rise is unusually large, which helps providers and the firms that supply them. Watch the next revision cycle and the deliberations of the council (Chuikyo) that sets it. The check is whether higher fees actually reach staff wages and provider margins, which the revision was designed to do.","reviewed (deep, bilingual)"
health,health-02,"Drug Pricing, Reimbursement & Pharma Margin Pressure",薬価・償還・医薬品マージン圧力,drug-pricing-reimbursement-and-pharma-margin-pressure,"This works against pharma earnings rather than for them. Lower official prices mean less revenue per pill for the same sales volume, squeezing makers of mature, off-patent-leaning drugs and the wholesalers that distribute them. Innovative, newly launched medicines are partly shielded, so the impact depends heavily on a company's product mix.","For FY2026 the government cut drug prices by 0.8%, and is widening the use of cost-effectiveness reviews for expensive drugs. Watch the annual drug-price revision and changes to the rules that speed older drugs toward generic-level pricing. The check is each company's exposure to mature versus newly launched products — the mix decides who is hurt.","reviewed (deep, bilingual)"
health,health-07,"Healthcare DX, Electronic Medical Records & Nationwide Data Platform",医療DX・電子カルテ・全国医療情報プラットフォーム,healthcare-dx-electronic-medical-records-and-nationwide-data-platform,"This is a public buildout delivered through procurement. The government pays IT firms to build and connect the systems, which flows to electronic-medical-record vendors, hospital IT integrators, cloud and cybersecurity providers, and healthcare-data platforms. Hospitals and clinics adopt the systems, often with support to do so.","It is one of the clearest public healthcare-IT pipelines, with set milestones. Watch the electronic-medical-record standardization deadlines and the rollout of the nationwide platform and electronic prescriptions. The check is adoption: whether providers actually connect to the platform on schedule, since government IT timelines often slip.","reviewed (deep, bilingual)"
infra,infra-01,"National Resilience, Disaster Prevention & Climate Adaptation Infrastructure",国土強靱化・防災・気候適応インフラ,national-resilience-disaster-prevention-and-climate-adaptation-infrastructure,"This is direct, large-scale public works. The government adopted a new five-year plan to spend more than ¥20 trillion between fiscal 2026 and 2030, with about half going to lifeline infrastructure like water and sewage, ¥5.8 trillion to disaster-prevention works, and ¥1.8 trillion to regional and public-private resilience. The money flows to general contractors, civil-engineering and materials firms, and equipment makers.","This is one of the most durable spending cycles in the map, renewed every five years. The ¥20 trillion-plus is committed for FY2026–2030. Watch the annual budget allocations and any post-disaster supplementary budgets, which add to the base. The check is contractor order backlogs, which show the spending converting into work.","reviewed (deep, bilingual)"
infra,infra-02,"Aging Infrastructure Maintenance, Bridges, Tunnels & Roads",老朽インフラ維持管理（橋梁・トンネル・道路）,aging-infrastructure-maintenance-bridges-tunnels-and-roads,"The work is funded through public-works budgets, including the resilience program above. By law, road managers must inspect bridges and tunnels every five years, and nearly half of Japan's bridges will be over 50 years old within a decade. That creates a predictable, repeating stream of inspection and repair work for maintenance contractors, inspection and sensor firms, and repair-materials makers.","Because inspection is mandated on a five-year cycle, demand is unusually visible and recurring. Watch the inspection cycles and repair-and-renewal budget allocations. The check is the order backlogs at the firms that specialize in infrastructure repair, which turn the aging-asset problem into revenue.","reviewed (deep, bilingual)"
