ticker_code,company_name,company_name_ja,edinet_code,market,subcategory_id,subcategory_name_en,category_id,exposure_type,exposure_score,confidence_score,why_relevant,policy_transmission_type,time_horizon,evidence_type,source_ids,last_verified
5803,Fujikura,フジクラ,E01334,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,82,78,Power cables and OPGW; grid-expansion and interconnection beneficiary.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
6501,Hitachi,日立製作所,E01737,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,82,78,Hitachi Energy is a global HVDC/grid leader; direct exposure to transmission capex.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
6503,Mitsubishi Electric,三菱電機,E01739,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,80,74,"Transformers, substations and HVDC/power-electronics for grid reinforcement.",capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
6504,Fuji Electric,富士電機,E01740,TSE,energy-02,"Grid Expansion, Interconnection & Power System Reform",energy,direct,78,70,"Power electronics and grid-stabilization equipment, SiC for converters.",capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,occto|sep7,2026-05-29
8001,ITOCHU,伊藤忠商事,E02497,TSE,energy-03,"Renewables: Offshore Wind, Solar, Geothermal & Biomass",energy,direct,78,72,Offshore-wind development and renewable operating assets.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
8058,Mitsubishi Corp,三菱商事,E02529,TSE,energy-03,"Renewables: Offshore Wind, Solar, Geothermal & Biomass",energy,direct,78,72,Offshore-wind round winner and renewable IPP.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
8031,Mitsui & Co,三井物産,E02513,TSE,energy-03,"Renewables: Offshore Wind, Solar, Geothermal & Biomass",energy,direct,78,70,Offshore-wind and renewable development pipeline.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
8002,Marubeni,丸紅,E02498,TSE,energy-03,"Renewables: Offshore Wind, Solar, Geothermal & Biomass",energy,direct,76,68,Renewable IPP and offshore-wind exposure.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
7011,Mitsubishi Heavy Industries,三菱重工業,E02126,TSE,energy-03,"Renewables: Offshore Wind, Solar, Geothermal & Biomass",energy,ecosystem,50,55,Offshore-wind turbine/foundation exposure and gas-turbine adjacency.,procurement,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,sep7|gx2040,2026-05-29
8088,Iwatani,岩谷産業,E02567,TSE,energy-05,"Hydrogen, Ammonia & Low-Carbon Fuels",energy,direct,85,85,"Japan's hydrogen leader — liquefied hydrogen, refueling stations and supply chain.",subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,h2act|sep7,2026-05-29
7012,Kawasaki Heavy Industries,川崎重工業,E02127,TSE,energy-05,"Hydrogen, Ammonia & Low-Carbon Fuels",energy,direct,82,80,Pioneer of liquefied-hydrogen carriers and the hydrogen supply chain.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,h2act|sep7,2026-05-29
7011,Mitsubishi Heavy Industries,三菱重工業,E02126,TSE,energy-05,"Hydrogen, Ammonia & Low-Carbon Fuels",energy,direct,78,72,Hydrogen gas turbines and ammonia co-firing technology.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,h2act|sep7,2026-05-29
1963,JGC Holdings,日揮ホールディングス,E01575,TSE,energy-05,"Hydrogen, Ammonia & Low-Carbon Fuels",energy,direct,78,70,Hydrogen/ammonia plant engineering (EPC).,procurement,medium|long,EDINET-verified listing + segment/industry + policy mapping,h2act|sep7,2026-05-29
8058,Mitsubishi Corp,三菱商事,E02529,TSE,energy-05,"Hydrogen, Ammonia & Low-Carbon Fuels",energy,indirect,60,60,Hydrogen/ammonia value-chain trading and project investment.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,h2act|sep7,2026-05-29
1605,INPEX,INPEX,E00043,TSE,energy-07,"CCS, CCUS & Carbon Management Infrastructure",energy,direct,82,78,"CCS project developer (e.g., domestic storage) and CO2 management.",subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,ccsact|gx2040,2026-05-29
1963,JGC Holdings,日揮ホールディングス,E01575,TSE,energy-07,"CCS, CCUS & Carbon Management Infrastructure",energy,direct,80,75,CCS/CCUS plant engineering and capture facilities.,procurement,medium|long,EDINET-verified listing + segment/industry + policy mapping,ccsact|gx2040,2026-05-29
8031,Mitsui & Co,三井物産,E02513,TSE,energy-07,"CCS, CCUS & Carbon Management Infrastructure",energy,indirect,59,58,CCS value-chain investment and project participation.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,ccsact|gx2040,2026-05-29
8697,Japan Exchange Group (JPX),日本取引所グループ,E03814,TSE,energy-08,"Carbon Pricing, GX-ETS & Transition Finance",energy,direct,74,62,Operates carbon-credit market infrastructure as GX-ETS scales.,market_structure,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,gxets|gx2040|sep7,2026-05-29
8306,Mitsubishi UFJ Financial Group (MUFG),三菱UFJフィナンシャル・グループ,E03606,TSE,energy-08,"Carbon Pricing, GX-ETS & Transition Finance",energy,indirect,58,55,Transition-finance lending and GX-related financing.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,gxets|gx2040|sep7,2026-05-29
7011,Mitsubishi Heavy Industries,三菱重工業,E02126,TSE,defense-01,Stand-Off Missiles & Counterstrike Capability,defense,direct,86,88,Prime for the Type-12 surface-to-ship missile and counterstrike systems; largest defense contractor.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,dbp|mod26,2026-05-29
7011,Mitsubishi Heavy Industries,三菱重工業,E02126,TSE,defense-02,Integrated Air & Missile Defense,defense,direct,84,82,Aegis System Equipped Vessels and integrated air-and-missile-defense systems.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,dbp|mod26,2026-05-29
7011,Mitsubishi Heavy Industries,三菱重工業,E02126,TSE,defense-08,"Defense Production Base, Munitions & Sustainment",defense,direct,80,76,"Munitions, sustainment and core defense-production base.",procurement,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,dpbact|dbp,2026-05-29
7012,Kawasaki Heavy Industries,川崎重工業,E02127,TSE,defense-03,"Unmanned Systems, Drones & Counter-UAS",defense,direct,76,68,Unmanned systems and UAV development.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,dbp|mod26,2026-05-29
7012,Kawasaki Heavy Industries,川崎重工業,E02127,TSE,defense-08,"Defense Production Base, Munitions & Sustainment",defense,direct,76,68,Defense production-base and sustainment exposure.,procurement,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,dpbact|dbp,2026-05-29
7013,IHI,IHI,E02128,TSE,defense-08,"Defense Production Base, Munitions & Sustainment",defense,direct,82,78,"Jet engines, rocket systems and defense propulsion.",procurement,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,dpbact|dbp,2026-05-29
7013,IHI,IHI,E02128,TSE,defense-01,Stand-Off Missiles & Counterstrike Capability,defense,indirect,61,62,Missile propulsion components.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,dbp|mod26,2026-05-29
6503,Mitsubishi Electric,三菱電機,E01739,TSE,defense-02,Integrated Air & Missile Defense,defense,direct,82,80,"Missile seekers, fire-control radar and air-defense electronics.",procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,dbp|mod26,2026-05-29
3132,Macnica Holdings,マクニカホールディングス,E31167,TSE,defense-03,"Unmanned Systems, Drones & Counter-UAS",defense,indirect,58,55,Defense/drone electronics distribution and integration.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,dbp|mod26,2026-05-29
9432,NTT,日本電信電話,E04430,TSE,defense-12,"Sovereign Cloud, AI Compute & Secure Digital Infrastructure",defense,direct,82,78,NTT Data government systems and domestic AI-compute/secure cloud.,subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute|esec,2026-05-29
6702,Fujitsu,富士通,E01766,TSE,defense-12,"Sovereign Cloud, AI Compute & Secure Digital Infrastructure",defense,direct,78,72,"Government secure cloud, supercomputing and AI infrastructure.",subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute|esec,2026-05-29
6701,NEC,日本電気,E01765,TSE,defense-12,"Sovereign Cloud, AI Compute & Secure Digital Infrastructure",defense,direct,78,70,Secure government cloud and AI-compute systems.,subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute|esec,2026-05-29
9984,SoftBank Group,ソフトバンクグループ,E02778,TSE,defense-12,"Sovereign Cloud, AI Compute & Secure Digital Infrastructure",defense,direct,76,66,"Domestic AI-compute build-out (data centers, GPUs).",subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute|esec,2026-05-29
8058,Mitsubishi Corp,三菱商事,E02529,TSE,defense-11,Economic Security Supply Chains & Specified Critical Products,defense,direct,76,68,Critical-minerals and specified-critical-product supply chains under ESPA.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,esec,2026-05-29
8031,Mitsui & Co,三井物産,E02513,TSE,defense-11,Economic Security Supply Chains & Specified Critical Products,defense,direct,74,64,"Economic-security supply chains (minerals, materials).",subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,esec,2026-05-29
4063,Shin-Etsu Chemical,信越化学工業,E00776,TSE,defense-11,Economic Security Supply Chains & Specified Critical Products,defense,direct,78,70,Specified critical products: semiconductor materials chokepoint.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,esec,2026-05-29
8035,Tokyo Electron,東京エレクトロン,E02652,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,88,90,Global leader in etch/deposition/coater-developer; primary beneficiary of fab capex and domestic support.,capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
6857,Advantest,アドバンテスト,E01950,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,86,86,Dominant in semiconductor test (SoC/memory); leveraged to AI-chip ramp.,capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
6146,Disco,ディスコ,E01506,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,84,82,Dicing/grinding precision tools — near-monopoly in back-end processing.,capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
6920,Lasertec,レーザーテック,E01991,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,82,80,EUV photomask inspection — unique chokepoint for leading-edge nodes.,capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
7735,SCREEN Holdings,SCREENホールディングス,E02288,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,82,78,Wafer-cleaning and coater/developer equipment.,capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
6525,KOKUSAI Electric,KOKUSAI ELECTRIC,E37488,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,80,74,Batch deposition / thermal-processing equipment.,capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
6361,Ebara,荏原製作所,E01542,TSE,semicon-04,Semiconductor Manufacturing Equipment & Precision Tools,semicon,direct,76,68,"CMP equipment, dry vacuum pumps and components for fabs.",capex_demand,short|medium,EDINET-verified listing + segment/industry + policy mapping,metisemi|fefta,2026-05-29
4063,Shin-Etsu Chemical,信越化学工業,E00776,TSE,semicon-03,"Semiconductor Materials, Chemicals & Advanced Components",semicon,direct,86,88,World's largest silicon-wafer and photoresist supplier — core materials chokepoint.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
4186,Tokyo Ohka Kogyo,東京応化工業,E00854,TSE,semicon-03,"Semiconductor Materials, Chemicals & Advanced Components",semicon,direct,82,80,Photoresist leader for advanced nodes.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
4062,Ibiden,イビデン,E00775,TSE,semicon-03,"Semiconductor Materials, Chemicals & Advanced Components",semicon,direct,82,78,IC package substrates for high-performance/AI chips.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
6981,Murata Manufacturing,村田製作所,E01914,TSE,semicon-03,"Semiconductor Materials, Chemicals & Advanced Components",semicon,direct,76,68,MLCCs and advanced electronic components.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
5016,JX Advanced Metals,JX金属,E01081,TSE,semicon-03,"Semiconductor Materials, Chemicals & Advanced Components",semicon,direct,78,72,Sputtering targets and ultra-thin copper foil for advanced packaging.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
8035,Tokyo Electron,東京エレクトロン,E02652,TSE,semicon-01,Advanced Logic Semiconductors & Foundry Revival,semicon,direct,82,80,Key equipment supplier to Rapidus and TSMC Kumamoto leading-edge lines.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,rapidus|metisemi,2026-05-29
4063,Shin-Etsu Chemical,信越化学工業,E00776,TSE,semicon-01,Advanced Logic Semiconductors & Foundry Revival,semicon,direct,80,75,Wafer supply for 2nm-class production.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,rapidus|metisemi,2026-05-29
6920,Lasertec,レーザーテック,E01991,TSE,semicon-01,Advanced Logic Semiconductors & Foundry Revival,semicon,direct,78,72,Mask-inspection essential to 2nm-class yield.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,rapidus|metisemi,2026-05-29
6146,Disco,ディスコ,E01506,TSE,semicon-01,Advanced Logic Semiconductors & Foundry Revival,semicon,direct,78,70,Back-end processing for advanced-node ramp.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,rapidus|metisemi,2026-05-29
4062,Ibiden,イビデン,E00775,TSE,semicon-01,Advanced Logic Semiconductors & Foundry Revival,semicon,direct,76,66,Advanced substrates for leading-edge packaging.,subsidy,medium|long,EDINET-verified listing + segment/industry + policy mapping,rapidus|metisemi,2026-05-29
6963,Rohm,ローム,E01953,TSE,semicon-02,"Legacy, Power, Analog & MCU Semiconductors",semicon,direct,84,82,SiC and power semiconductors — ESPA power-chip support beneficiary.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
6723,Renesas Electronics,ルネサスエレクトロニクス,E02081,TSE,semicon-02,"Legacy, Power, Analog & MCU Semiconductors",semicon,direct,82,80,"Automotive MCUs, analog and power chips; ESPA support.",subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
6503,Mitsubishi Electric,三菱電機,E01739,TSE,semicon-02,"Legacy, Power, Analog & MCU Semiconductors",semicon,direct,76,68,Power modules and SiC devices.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
6504,Fuji Electric,富士電機,E01740,TSE,semicon-02,"Legacy, Power, Analog & MCU Semiconductors",semicon,direct,78,70,Power semiconductors and SiC.,subsidy,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi|esec,2026-05-29
4062,Ibiden,イビデン,E00775,TSE,semicon-05,"Advanced Packaging, Chiplets & Heterogeneous Integration",semicon,direct,84,82,Flagship IC-substrate maker for AI/HPC advanced packaging.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi,2026-05-29
6146,Disco,ディスコ,E01506,TSE,semicon-05,"Advanced Packaging, Chiplets & Heterogeneous Integration",semicon,direct,78,70,Advanced-packaging dicing/grinding tools.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi,2026-05-29
6981,Murata Manufacturing,村田製作所,E01914,TSE,semicon-05,"Advanced Packaging, Chiplets & Heterogeneous Integration",semicon,indirect,59,58,Components and materials for heterogeneous integration.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,metisemi,2026-05-29
9432,NTT,日本電信電話,E04430,TSE,semicon-06,"AI Compute, Data Centers & Semiconductor Demand Pull",semicon,direct,78,70,AI-compute/data-center build-out drives chip demand pull.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute|metisemi,2026-05-29
9984,SoftBank Group,ソフトバンクグループ,E02778,TSE,semicon-06,"AI Compute, Data Centers & Semiconductor Demand Pull",semicon,direct,76,68,"Domestic AI-compute investment (data centers, GPUs).",capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute|metisemi,2026-05-29
6857,Advantest,アドバンテスト,E01950,TSE,semicon-06,"AI Compute, Data Centers & Semiconductor Demand Pull",semicon,direct,82,78,AI-chip test demand is a core growth driver.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute|metisemi,2026-05-29
5803,Fujikura,フジクラ,E01334,TSE,semicon-06,"AI Compute, Data Centers & Semiconductor Demand Pull",semicon,direct,76,66,Data-center optical connectivity and cabling.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute|metisemi,2026-05-29
6954,Fanuc,ファナック,E01946,TSE,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",semicon,direct,85,85,Industrial robots and CNC — core automation beneficiary of labor-saving capex.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,newcap|metisemi,2026-05-29
6506,Yaskawa Electric,安川電機,E01741,TSE,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",semicon,direct,84,82,Servo motors and industrial/collaborative robots.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,newcap|metisemi,2026-05-29
6861,Keyence,キーエンス,E01967,TSE,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",semicon,direct,82,78,Sensors and machine vision for factory automation.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,newcap|metisemi,2026-05-29
6273,SMC,SMC,E01673,TSE,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",semicon,direct,80,74,Pneumatic automation components (global leader).,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,newcap|metisemi,2026-05-29
6383,Daifuku,ダイフク,E01551,TSE,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",semicon,direct,80,74,Material-handling and intralogistics automation.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,newcap|metisemi,2026-05-29
6268,Nabtesco,ナブテスコ,E01726,TSE,semicon-09,"Factory Automation, Robotics & Labor-Saving Manufacturing",semicon,direct,76,66,Precision reduction gears for robot joints.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,newcap|metisemi,2026-05-29
1812,Kajima,鹿島建設,E00058,TSE,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",semicon,direct,78,72,Builds advanced fabs (TSMC/Rapidus-class) — reshoring construction beneficiary.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,icea|metisemi,2026-05-29
1969,Takasago Thermal Engineering,高砂熱学工業,E00149,TSE,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",semicon,direct,80,75,Cleanroom HVAC for semiconductor fabs — direct reshoring beneficiary.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,icea|metisemi,2026-05-29
1802,Obayashi,大林組,E00055,TSE,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",semicon,direct,78,70,Large-scale plant and fab construction.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,icea|metisemi,2026-05-29
1803,Shimizu,清水建設,E00053,TSE,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",semicon,direct,76,66,Industrial/fab construction.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,icea|metisemi,2026-05-29
1944,Kinden,きんでん,E00075,TSE,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",semicon,direct,76,68,Electrical works for fabs and plants.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,icea|metisemi,2026-05-29
1925,Daiwa House Industry,大和ハウス工業,E00048,TSE,semicon-10,"Strategic Domestic Investment, Reshoring & Plant Subsidies",semicon,direct,74,62,Industrial and logistics real estate for reshoring.,capex_demand,medium|long,EDINET-verified listing + segment/industry + policy mapping,icea|metisemi,2026-05-29
9432,NTT,日本電信電話,E04430,TSE,digital-01,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",digital,direct,82,80,"NTT (incl. NTT Data) — domestic AI compute, LLM (tsuzumi) and sovereign infrastructure.",subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
9984,SoftBank Group,ソフトバンクグループ,E02778,TSE,digital-01,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",digital,direct,82,78,Large-scale domestic AI-compute and data-center investment.,subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
9434,SoftBank Corp,ソフトバンク,E04426,TSE,digital-01,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",digital,direct,78,70,AI-compute build-out (SB Intelligence/AI data centers).,subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
6702,Fujitsu,富士通,E01766,TSE,digital-01,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",digital,direct,78,72,Supercomputing (Fugaku) and AI-infrastructure systems.,subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
6701,NEC,日本電気,E01765,TSE,digital-01,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",digital,direct,76,68,AI-compute and secure systems integration.,subsidy,short|medium,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
9432,NTT,日本電信電話,E04430,TSE,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",digital,direct,82,78,Major data-center operator and watt-bit infrastructure builder.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
9433,KDDI,KDDI,E04425,TSE,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",digital,direct,78,70,Data-center and connectivity infrastructure.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
5803,Fujikura,フジクラ,E01334,TSE,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",digital,direct,78,72,Data-center optical interconnect and cabling — AI-DC beneficiary.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
1812,Kajima,鹿島建設,E00058,TSE,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",digital,direct,76,66,Data-center construction.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
1969,Takasago Thermal Engineering,高砂熱学工業,E00149,TSE,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",digital,direct,76,68,Data-center cooling and HVAC engineering.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
6367,Daikin Industries,ダイキン工業,E01570,TSE,digital-02,"Data Centers, Green Data Centers & Watt-Bit Infrastructure",digital,direct,76,66,Data-center cooling systems.,capex_demand,short|medium|long,EDINET-verified listing + segment/industry + policy mapping,aicompute,2026-05-29
6702,Fujitsu,富士通,E01766,TSE,digital-03,"Government Cloud, Public-Sector IT Modernization & GovTech",digital,direct,82,80,Government Cloud and public-sector IT migration leader.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,digicloud|digiagency,2026-05-29
6701,NEC,日本電気,E01765,TSE,digital-03,"Government Cloud, Public-Sector IT Modernization & GovTech",digital,direct,82,78,Government systems modernization and GovTech.,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,digicloud|digiagency,2026-05-29
4307,Nomura Research Institute (NRI),野村総合研究所,E05062,TSE,digital-03,"Government Cloud, Public-Sector IT Modernization & GovTech",digital,direct,80,74,Public-sector and financial systems integration (NRI).,procurement,short|medium,EDINET-verified listing + segment/industry + policy mapping,digicloud|digiagency,2026-05-29
